Model,Accuracy,F1,Precision,Recall,ROC-AUC,Avg Prec,Brier
TextBlob,0.628,0.6036211129296236,0.6697648756472285,0.628,0.75044,0.738115842779188,0.21350851475922217
VADER,0.646,0.624743999084121,0.6887709716791824,0.646,0.747224,0.7122467950666947,0.213938456205
DistilBERT,0.922,0.9219747198092182,0.9225476217177462,0.9219999999999999,0.977744,0.978742083157494,0.07208357695175399
